,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.0,0.3333333333333333,0.6666666666666666
return_side|BH|dir=3,0.2222222222222222,0.1111111111111111,0.6666666666666666
return_side|DROP_SHOT|dir=1,1.0,0.0,0.0
return_side|FH|dir=1,0.0,0.5,0.5
return_side|FH|dir=2,0.3333333333333333,0.3333333333333333,0.3333333333333333
return_side|FH|dir=3,0.1,0.4,0.5
return_side|SERVE|dir=4,0.0,0.42105263157894735,0.5789473684210527
return_side|SERVE|dir=5,0.0,0.0,1.0
return_side|SERVE|dir=6,0.0,0.5384615384615384,0.46153846153846156
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,1.0,0.0,0.0
return_side|SLICE|dir=3,0.0,0.3333333333333333,0.6666666666666666
return_side|VOLLEY|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.0,0.6666666666666666,0.3333333333333333
serve_side|BH|dir=1,0.0,0.2,0.8
serve_side|BH|dir=2,0.0,0.041666666666666664,0.9583333333333334
serve_side|BH|dir=3,0.08695652173913043,0.13043478260869565,0.782608695652174
serve_side|BOS|dir=0,0.0625,0.0,0.9375
serve_side|DROP_SHOT|dir=3,1.0,0.0,0.0
serve_side|FH|dir=1,0.02127659574468085,0.2978723404255319,0.6808510638297872
serve_side|FH|dir=2,0.03571428571428571,0.17857142857142858,0.7857142857142857
serve_side|FH|dir=3,0.034482758620689655,0.06896551724137931,0.896551724137931
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.07692307692307693,0.0,0.9230769230769231
serve_side|SLICE|dir=2,0.16666666666666666,0.125,0.7083333333333334
serve_side|SLICE|dir=3,0.05,0.0,0.95
serve_side|VOLLEY|dir=1,0.0,1.0,0.0
serve_side|VOLLEY|dir=3,0.0,1.0,0.0
