,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.07407407407407407,0.18518518518518517,0.7407407407407407
return_side|BH|dir=3,0.0,0.20588235294117646,0.7941176470588235
return_side|DROP_SHOT|dir=3,0.0,1.0,0.0
return_side|FH|dir=0,0.0,0.0,1.0
return_side|FH|dir=1,0.017543859649122806,0.3157894736842105,0.6666666666666666
return_side|FH|dir=2,0.13043478260869565,0.13043478260869565,0.7391304347826086
return_side|FH|dir=3,0.0,0.35294117647058826,0.6470588235294118
return_side|LOB|dir=2,0.0,0.0,1.0
return_side|SERVE|dir=4,0.027777777777777776,0.4166666666666667,0.5555555555555556
return_side|SERVE|dir=5,0.05194805194805195,0.2727272727272727,0.6753246753246753
return_side|SERVE|dir=6,0.0,0.41935483870967744,0.5806451612903226
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,0.14285714285714285,0.14285714285714285,0.7142857142857143
return_side|SLICE|dir=3,0.07692307692307693,0.3076923076923077,0.6153846153846154
return_side|SMASH|dir=3,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.0,1.0,0.0
return_side|VOLLEY|dir=3,0.0,0.3333333333333333,0.6666666666666666
serve_side|BH|dir=1,0.2857142857142857,0.14285714285714285,0.5714285714285714
serve_side|BH|dir=2,0.10638297872340426,0.11702127659574468,0.776595744680851
serve_side|BH|dir=3,0.04938271604938271,0.2222222222222222,0.7283950617283951
serve_side|BOS|dir=0,0.04716981132075472,0.0,0.9528301886792453
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.07246376811594203,0.2318840579710145,0.6956521739130435
serve_side|FH|dir=2,0.06666666666666667,0.14666666666666667,0.7866666666666666
serve_side|FH|dir=3,0.05172413793103448,0.08620689655172414,0.8620689655172413
serve_side|LOB|dir=1,1.0,0.0,0.0
serve_side|LOB|dir=2,0.7142857142857143,0.0,0.2857142857142857
serve_side|LOB|dir=3,0.625,0.125,0.25
serve_side|OTHER|dir=2,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.02127659574468085,0.0,0.9787234042553191
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.2,0.8
serve_side|SLICE|dir=2,0.20754716981132076,0.16981132075471697,0.6226415094339622
serve_side|SLICE|dir=3,0.07692307692307693,0.07692307692307693,0.8461538461538461
serve_side|SMASH|dir=3,0.0,1.0,0.0
serve_side|VOLLEY|dir=3,0.0,0.6666666666666666,0.3333333333333333
