,win,loss,continue
return_side|BH|dir=1,0.14285714285714285,0.19047619047619047,0.6666666666666666
return_side|BH|dir=2,0.08333333333333333,0.0,0.9166666666666666
return_side|BH|dir=3,0.02631578947368421,0.2631578947368421,0.7105263157894737
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.04,0.08,0.88
return_side|FH|dir=2,0.09090909090909091,0.18181818181818182,0.7272727272727273
return_side|FH|dir=3,0.0,0.10526315789473684,0.8947368421052632
return_side|LOB|dir=3,1.0,0.0,0.0
return_side|OTHER|dir=2,0.0,0.0,1.0
return_side|SERVE|dir=4,0.061224489795918366,0.20408163265306123,0.7346938775510204
return_side|SERVE|dir=5,0.0,0.21739130434782608,0.782608695652174
return_side|SERVE|dir=6,0.018518518518518517,0.24074074074074073,0.7407407407407407
return_side|SLICE|dir=1,0.3333333333333333,0.3333333333333333,0.3333333333333333
return_side|SLICE|dir=2,0.3333333333333333,0.1111111111111111,0.5555555555555556
return_side|SLICE|dir=3,0.09090909090909091,0.2727272727272727,0.6363636363636364
return_side|VOLLEY|dir=1,0.0,0.6666666666666666,0.3333333333333333
return_side|VOLLEY|dir=2,0.0,0.5,0.5
return_side|VOLLEY|dir=3,0.25,0.0,0.75
serve_side|BH|dir=1,0.06896551724137931,0.13793103448275862,0.7931034482758621
serve_side|BH|dir=2,0.05,0.125,0.825
serve_side|BH|dir=3,0.018867924528301886,0.11320754716981132,0.8679245283018868
serve_side|BOS|dir=0,0.06153846153846154,0.007692307692307693,0.9307692307692308
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.0,1.0,0.0
serve_side|FH|dir=1,0.1111111111111111,0.1111111111111111,0.7777777777777778
serve_side|FH|dir=2,0.0,0.125,0.875
serve_side|FH|dir=3,0.0,0.03333333333333333,0.9666666666666667
serve_side|LOB|dir=2,0.0,1.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.4,0.6
serve_side|SLICE|dir=2,0.045454545454545456,0.09090909090909091,0.8636363636363636
serve_side|SLICE|dir=3,0.041666666666666664,0.041666666666666664,0.9166666666666666
serve_side|SMASH|dir=1,0.0,1.0,0.0
serve_side|SMASH|dir=2,0.0,0.0,1.0
serve_side|VOLLEY|dir=1,1.0,0.0,0.0
serve_side|VOLLEY|dir=2,0.0,0.6666666666666666,0.3333333333333333
serve_side|VOLLEY|dir=3,0.0,0.5,0.5
