,win,loss,continue
return_side|BH|dir=1,0.0,0.3333333333333333,0.6666666666666666
return_side|BH|dir=2,0.125,0.125,0.75
return_side|BH|dir=3,0.029850746268656716,0.16417910447761194,0.8059701492537313
return_side|DROP_SHOT|dir=3,0.0,0.3333333333333333,0.6666666666666666
return_side|FH|dir=1,0.011904761904761904,0.21428571428571427,0.7738095238095238
return_side|FH|dir=2,0.02702702702702703,0.10810810810810811,0.8648648648648649
return_side|FH|dir=3,0.02857142857142857,0.15714285714285714,0.8142857142857143
return_side|SERVE|dir=4,0.029850746268656716,0.11940298507462686,0.8507462686567164
return_side|SERVE|dir=5,0.08108108108108109,0.1891891891891892,0.7297297297297297
return_side|SERVE|dir=6,0.0,0.11904761904761904,0.8809523809523809
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,0.25,0.25,0.5
return_side|SLICE|dir=3,0.08333333333333333,0.16666666666666666,0.75
return_side|SMASH|dir=1,0.0,0.5,0.5
return_side|SMASH|dir=2,0.0,1.0,0.0
return_side|VOLLEY|dir=1,0.5,0.0,0.5
return_side|VOLLEY|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,0.14285714285714285,0.8571428571428571
serve_side|BH|dir=2,0.0,0.11475409836065574,0.8852459016393442
serve_side|BH|dir=3,0.027777777777777776,0.1111111111111111,0.8611111111111112
serve_side|BOS|dir=0,0.02976190476190476,0.0,0.9702380952380952
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.041666666666666664,0.1388888888888889,0.8194444444444444
serve_side|FH|dir=2,0.04285714285714286,0.11428571428571428,0.8428571428571429
serve_side|FH|dir=3,0.030303030303030304,0.07575757575757576,0.8939393939393939
serve_side|LOB|dir=2,1.0,0.0,0.0
serve_side|SERVE|dir=0,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.2857142857142857,0.2857142857142857,0.42857142857142855
serve_side|SLICE|dir=2,0.125,0.25,0.625
serve_side|SLICE|dir=3,0.09090909090909091,0.0,0.9090909090909091
serve_side|VOLLEY|dir=1,0.0,0.0,1.0
serve_side|VOLLEY|dir=3,0.0,0.0,1.0
