,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.0,0.0,1.0
return_side|BH|dir=3,0.0,0.0,1.0
return_side|DROP_SHOT|dir=1,0.0,1.0,0.0
return_side|DROP_SHOT|dir=3,0.25,0.0,0.75
return_side|FH|dir=1,0.08695652173913043,0.17391304347826086,0.7391304347826086
return_side|FH|dir=2,0.029411764705882353,0.058823529411764705,0.9117647058823529
return_side|FH|dir=3,0.020833333333333332,0.020833333333333332,0.9583333333333334
return_side|LOB|dir=1,0.0,0.0,1.0
return_side|LOB|dir=2,0.5,0.0,0.5
return_side|SERVE|dir=4,0.0,0.2558139534883721,0.7441860465116279
return_side|SERVE|dir=5,0.0,0.23529411764705882,0.7647058823529411
return_side|SERVE|dir=6,0.0,0.2857142857142857,0.7142857142857143
return_side|SLICE|dir=1,0.5,0.0,0.5
return_side|SLICE|dir=2,0.2,0.2,0.6
return_side|SLICE|dir=3,0.125,0.25,0.625
return_side|SMASH|dir=3,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.5,0.5,0.0
return_side|VOLLEY|dir=2,0.0,0.5,0.5
return_side|VOLLEY|dir=3,0.0,0.3333333333333333,0.6666666666666666
serve_side|BH|dir=1,0.0,0.2777777777777778,0.7222222222222222
serve_side|BH|dir=2,0.06779661016949153,0.05084745762711865,0.8813559322033898
serve_side|BH|dir=3,0.06521739130434782,0.10869565217391304,0.8260869565217391
serve_side|BOS|dir=0,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.02564102564102564,0.15384615384615385,0.8205128205128205
serve_side|FH|dir=2,0.034482758620689655,0.15517241379310345,0.8103448275862069
serve_side|FH|dir=3,0.0,0.018518518518518517,0.9814814814814815
serve_side|LOB|dir=1,1.0,0.0,0.0
serve_side|LOB|dir=2,1.0,0.0,0.0
serve_side|LOB|dir=3,0.6666666666666666,0.0,0.3333333333333333
serve_side|SERVE|dir=0,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.2,0.8
serve_side|SLICE|dir=2,0.13333333333333333,0.0,0.8666666666666667
serve_side|SLICE|dir=3,0.041666666666666664,0.08333333333333333,0.875
serve_side|SMASH|dir=1,0.0,1.0,0.0
serve_side|VOLLEY|dir=1,1.0,0.0,0.0
serve_side|VOLLEY|dir=3,0.0,0.0,1.0
