,win,loss,continue
return_side|BH|dir=0,0.02564102564102564,0.15384615384615385,0.8205128205128205
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.0,0.2,0.8
return_side|BH|dir=3,0.09090909090909091,0.36363636363636365,0.5454545454545454
return_side|DROP_SHOT|dir=0,0.0,0.0,1.0
return_side|FH|dir=0,0.10714285714285714,0.10714285714285714,0.7857142857142857
return_side|FH|dir=1,0.0,0.16666666666666666,0.8333333333333334
return_side|FH|dir=2,0.0,0.5,0.5
return_side|FH|dir=3,0.0,0.0,1.0
return_side|LOB|dir=0,0.0,0.0,1.0
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|SERVE|dir=4,0.05714285714285714,0.2,0.7428571428571429
return_side|SERVE|dir=5,0.0,0.1956521739130435,0.8043478260869565
return_side|SERVE|dir=6,0.0,0.2222222222222222,0.7777777777777778
return_side|SLICE|dir=0,0.3333333333333333,0.16666666666666666,0.5
return_side|SLICE|dir=1,0.0,1.0,0.0
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.5,0.0,0.5
return_side|SMASH|dir=0,0.0,0.6666666666666666,0.3333333333333333
serve_side|BH|dir=0,0.038461538461538464,0.19230769230769232,0.7692307692307693
serve_side|BH|dir=1,0.0,0.3333333333333333,0.6666666666666666
serve_side|BH|dir=2,0.0,0.20588235294117646,0.7941176470588235
serve_side|BH|dir=3,0.07142857142857142,0.17857142857142858,0.75
serve_side|BOS|dir=0,0.015384615384615385,0.0,0.9846153846153847
serve_side|DROP_SHOT|dir=0,0.0,0.5,0.5
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|FH|dir=0,0.024390243902439025,0.14634146341463414,0.8292682926829268
serve_side|FH|dir=1,0.07692307692307693,0.15384615384615385,0.7692307692307693
serve_side|FH|dir=2,0.07142857142857142,0.21428571428571427,0.7142857142857143
serve_side|FH|dir=3,0.0,0.125,0.875
serve_side|LOB|dir=0,0.0,1.0,0.0
serve_side|LOB|dir=1,0.0,0.0,1.0
serve_side|LOB|dir=2,0.0,0.5,0.5
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=0,0.5,0.5,0.0
serve_side|SLICE|dir=1,0.0,0.4,0.6
serve_side|SLICE|dir=2,0.0,0.4,0.6
serve_side|SLICE|dir=3,0.5,0.5,0.0
serve_side|SMASH|dir=3,0.0,1.0,0.0
