,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.5,0.0,0.5
return_side|BH|dir=3,0.0,0.0,1.0
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,1.0,0.0
return_side|FH|dir=1,0.0,0.2727272727272727,0.7272727272727273
return_side|FH|dir=2,0.0,0.5,0.5
return_side|FH|dir=3,0.0,0.0,1.0
return_side|LOB|dir=1,1.0,0.0,0.0
return_side|LOB|dir=2,0.0,1.0,0.0
return_side|SERVE|dir=4,0.0,0.17647058823529413,0.8235294117647058
return_side|SERVE|dir=5,0.0,0.0,1.0
return_side|SERVE|dir=6,0.0,0.16666666666666666,0.8333333333333334
return_side|SLICE|dir=1,0.0,0.5,0.5
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.0,0.0,1.0
return_side|SMASH|dir=2,0.0,1.0,0.0
return_side|VOLLEY|dir=1,0.0,0.5,0.5
serve_side|BH|dir=1,0.0,0.16666666666666666,0.8333333333333334
serve_side|BH|dir=2,0.1,0.0,0.9
serve_side|BH|dir=3,0.024390243902439025,0.21951219512195122,0.7560975609756098
serve_side|BOS|dir=0,0.011235955056179775,0.0,0.9887640449438202
serve_side|FH|dir=1,0.038461538461538464,0.19230769230769232,0.7692307692307693
serve_side|FH|dir=2,0.0,0.13043478260869565,0.8695652173913043
serve_side|FH|dir=3,0.13793103448275862,0.13793103448275862,0.7241379310344828
serve_side|LOB|dir=1,0.0,1.0,0.0
serve_side|LOB|dir=2,0.1111111111111111,0.4444444444444444,0.4444444444444444
serve_side|LOB|dir=3,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.5,0.0,0.5
serve_side|SLICE|dir=2,0.0,0.14285714285714285,0.8571428571428571
serve_side|SLICE|dir=3,0.18181818181818182,0.18181818181818182,0.6363636363636364
serve_side|VOLLEY|dir=3,1.0,0.0,0.0
