,win,loss,continue
return_side|BH|dir=1,0.05714285714285714,0.05714285714285714,0.8857142857142857
return_side|BH|dir=2,0.047619047619047616,0.14285714285714285,0.8095238095238095
return_side|BH|dir=3,0.03571428571428571,0.19642857142857142,0.7678571428571429
return_side|DROP_SHOT|dir=1,0.25,0.0,0.75
return_side|DROP_SHOT|dir=3,0.1111111111111111,0.4444444444444444,0.4444444444444444
return_side|FH|dir=1,0.028735632183908046,0.20114942528735633,0.7701149425287356
return_side|FH|dir=2,0.04081632653061224,0.08163265306122448,0.8775510204081632
return_side|FH|dir=3,0.058823529411764705,0.25,0.6911764705882353
return_side|LOB|dir=1,0.0,0.0,1.0
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|LOB|dir=3,0.5,0.5,0.0
return_side|SERVE|dir=0,0.0,1.0,0.0
return_side|SERVE|dir=4,0.01652892561983471,0.18181818181818182,0.8016528925619835
return_side|SERVE|dir=5,0.037037037037037035,0.09259259259259259,0.8703703703703703
return_side|SERVE|dir=6,0.007633587786259542,0.22900763358778625,0.7633587786259542
return_side|SLICE|dir=1,0.0625,0.25,0.6875
return_side|SLICE|dir=2,0.0,0.1,0.9
return_side|SLICE|dir=3,0.14285714285714285,0.0,0.8571428571428571
return_side|SMASH|dir=3,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.01694915254237288,0.13559322033898305,0.847457627118644
serve_side|BH|dir=2,0.054878048780487805,0.11585365853658537,0.8292682926829268
serve_side|BH|dir=3,0.09574468085106383,0.1595744680851064,0.7446808510638298
serve_side|BOS|dir=0,0.06417112299465241,0.0,0.9358288770053476
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.0,1.0,0.0
serve_side|FH|dir=1,0.027777777777777776,0.18055555555555555,0.7916666666666666
serve_side|FH|dir=2,0.0364963503649635,0.18248175182481752,0.781021897810219
serve_side|FH|dir=3,0.047619047619047616,0.14285714285714285,0.8095238095238095
serve_side|LOB|dir=1,1.0,0.0,0.0
serve_side|LOB|dir=2,0.3076923076923077,0.07692307692307693,0.6153846153846154
serve_side|LOB|dir=3,0.5,0.0,0.5
serve_side|OTHER|dir=1,0.0,0.2,0.8
serve_side|OTHER|dir=2,0.0,0.0,1.0
serve_side|OTHER|dir=3,0.0,1.0,0.0
serve_side|SERVE|dir=4,0.018867924528301886,0.0,0.9811320754716981
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.015151515151515152,0.0,0.9848484848484849
serve_side|SLICE|dir=1,0.09375,0.125,0.78125
serve_side|SLICE|dir=2,0.15555555555555556,0.13333333333333333,0.7111111111111111
serve_side|SLICE|dir=3,0.1111111111111111,0.05555555555555555,0.8333333333333334
serve_side|VOLLEY|dir=1,0.25,0.0,0.75
serve_side|VOLLEY|dir=2,1.0,0.0,0.0
serve_side|VOLLEY|dir=3,0.6666666666666666,0.0,0.3333333333333333
