,win,loss,continue
return_side|BH|dir=1,0.2,0.2,0.6
return_side|BH|dir=2,0.0,0.25,0.75
return_side|BH|dir=3,0.05,0.25,0.7
return_side|FH|dir=1,0.0,0.1111111111111111,0.8888888888888888
return_side|FH|dir=2,0.0,0.06666666666666667,0.9333333333333333
return_side|FH|dir=3,0.0,0.26666666666666666,0.7333333333333333
return_side|LOB|dir=1,0.0,1.0,0.0
return_side|SERVE|dir=4,0.0,0.2692307692307692,0.7307692307692307
return_side|SERVE|dir=5,0.0,0.13333333333333333,0.8666666666666667
return_side|SERVE|dir=6,0.0,0.23809523809523808,0.7619047619047619
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SMASH|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.0,1.0,0.0
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.047619047619047616,0.09523809523809523,0.8571428571428571
serve_side|BH|dir=3,0.2,0.3,0.5
serve_side|BOS|dir=0,0.06,0.0,0.94
serve_side|FH|dir=1,0.0,0.08,0.92
serve_side|FH|dir=2,0.08333333333333333,0.08333333333333333,0.8333333333333334
serve_side|FH|dir=3,0.25,0.0,0.75
serve_side|LOB|dir=2,0.0,0.0,1.0
serve_side|LOB|dir=3,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.0,0.0,1.0
serve_side|SLICE|dir=3,0.0,0.0,1.0
serve_side|SMASH|dir=2,0.0,1.0,0.0
serve_side|SMASH|dir=3,0.0,0.0,1.0
