,win,loss,continue
return_side|BH|dir=1,0.25,0.0,0.75
return_side|BH|dir=2,0.0,0.0,1.0
return_side|BH|dir=3,0.0,0.14814814814814814,0.8518518518518519
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|FH|dir=1,0.047619047619047616,0.19047619047619047,0.7619047619047619
return_side|FH|dir=2,0.0,0.0,1.0
return_side|FH|dir=3,0.0,0.2,0.8
return_side|SERVE|dir=4,0.0,0.2857142857142857,0.7142857142857143
return_side|SERVE|dir=5,0.0,0.0,1.0
return_side|SERVE|dir=6,0.0,0.0,1.0
return_side|SLICE|dir=1,0.0,0.375,0.625
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.125,0.125,0.75
return_side|VOLLEY|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=2,0.0,1.0,0.0
return_side|VOLLEY|dir=3,0.0,1.0,0.0
serve_side|BH|dir=1,0.0,0.17647058823529413,0.8235294117647058
serve_side|BH|dir=2,0.0,0.0,1.0
serve_side|BH|dir=3,0.0,0.13725490196078433,0.8627450980392157
serve_side|BOS|dir=0,0.031746031746031744,0.0,0.9682539682539683
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.06666666666666667,0.06666666666666667,0.8666666666666667
serve_side|FH|dir=2,0.05555555555555555,0.16666666666666666,0.7777777777777778
serve_side|FH|dir=3,0.16666666666666666,0.0,0.8333333333333334
serve_side|LOB|dir=3,0.0,0.0,1.0
serve_side|OTHER|dir=3,0.0,1.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.0,0.14285714285714285,0.8571428571428571
serve_side|SLICE|dir=3,0.0,0.16666666666666666,0.8333333333333334
serve_side|SMASH|dir=1,0.0,0.0,1.0
serve_side|VOLLEY|dir=1,0.0,1.0,0.0
serve_side|VOLLEY|dir=2,0.0,0.0,1.0
serve_side|VOLLEY|dir=3,0.3333333333333333,0.0,0.6666666666666666
