,win,loss,continue
return_side|BH|dir=2,0.0,0.0,1.0
return_side|BH|dir=3,0.16666666666666666,0.08333333333333333,0.75
return_side|DROP_SHOT|dir=1,0.5,0.0,0.5
return_side|DROP_SHOT|dir=2,0.0,0.0,1.0
return_side|FH|dir=1,0.037037037037037035,0.1111111111111111,0.8518518518518519
return_side|FH|dir=2,0.0,0.0,1.0
return_side|FH|dir=3,0.04,0.04,0.92
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|SERVE|dir=4,0.0,0.20833333333333334,0.7916666666666666
return_side|SERVE|dir=5,0.0,0.0,1.0
return_side|SERVE|dir=6,0.0,0.0,1.0
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.0,1.0,0.0
return_side|VOLLEY|dir=3,1.0,0.0,0.0
serve_side|BH|dir=1,0.0,0.25,0.75
serve_side|BH|dir=2,0.0,0.0975609756097561,0.9024390243902439
serve_side|BH|dir=3,0.058823529411764705,0.029411764705882353,0.9117647058823529
serve_side|BOS|dir=0,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.03571428571428571,0.17857142857142858,0.7857142857142857
serve_side|FH|dir=2,0.0,0.047619047619047616,0.9523809523809523
serve_side|FH|dir=3,0.0,0.08888888888888889,0.9111111111111111
serve_side|LOB|dir=1,0.5,0.5,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.2,0.0,0.8
serve_side|SLICE|dir=3,0.25,0.0,0.75
