,win,loss,continue
return_side|BH|dir=1,0.0,0.14285714285714285,0.8571428571428571
return_side|BH|dir=2,0.0,0.06666666666666667,0.9333333333333333
return_side|BH|dir=3,0.0,0.0,1.0
return_side|DROP_SHOT|dir=2,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,0.5,0.5
return_side|FH|dir=1,0.0,0.15789473684210525,0.8421052631578947
return_side|FH|dir=2,0.0,0.22727272727272727,0.7727272727272727
return_side|FH|dir=3,0.1,0.4,0.5
return_side|LOB|dir=2,0.0,0.0,1.0
return_side|SERVE|dir=4,0.0,0.12903225806451613,0.8709677419354839
return_side|SERVE|dir=5,0.0,0.14285714285714285,0.8571428571428571
return_side|SERVE|dir=6,0.0,0.21428571428571427,0.7857142857142857
return_side|SLICE|dir=1,0.0,0.5,0.5
return_side|SLICE|dir=2,0.25,0.0,0.75
return_side|SLICE|dir=3,0.0,1.0,0.0
serve_side|BH|dir=1,0.0625,0.125,0.8125
serve_side|BH|dir=2,0.06666666666666667,0.1111111111111111,0.8222222222222222
serve_side|BH|dir=3,0.10344827586206896,0.06896551724137931,0.8275862068965517
serve_side|BOS|dir=0,0.05714285714285714,0.0,0.9428571428571428
serve_side|DROP_SHOT|dir=1,0.5,0.0,0.5
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.03225806451612903,0.0967741935483871,0.8709677419354839
serve_side|FH|dir=2,0.029411764705882353,0.11764705882352941,0.8529411764705882
serve_side|FH|dir=3,0.0,0.0,1.0
serve_side|LOB|dir=2,0.5,0.0,0.5
serve_side|LOB|dir=3,0.0,1.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.4,0.0,0.6
serve_side|SLICE|dir=2,0.0,0.0,1.0
serve_side|SLICE|dir=3,0.0,0.0,1.0
