,win,loss,continue
return_side|BH|dir=1,0.0,0.07692307692307693,0.9230769230769231
return_side|BH|dir=2,0.045454545454545456,0.2727272727272727,0.6818181818181818
return_side|BH|dir=3,0.0,0.13333333333333333,0.8666666666666667
return_side|DROP_SHOT|dir=1,0.0,1.0,0.0
return_side|DROP_SHOT|dir=2,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.25,0.0,0.75
return_side|FH|dir=1,0.0,0.25,0.75
return_side|FH|dir=2,0.038461538461538464,0.0,0.9615384615384616
return_side|FH|dir=3,0.14285714285714285,0.19047619047619047,0.6666666666666666
return_side|LOB|dir=1,1.0,0.0,0.0
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|LOB|dir=3,1.0,0.0,0.0
return_side|SERVE|dir=4,0.03125,0.296875,0.671875
return_side|SERVE|dir=5,0.025,0.225,0.75
return_side|SERVE|dir=6,0.022727272727272728,0.20454545454545456,0.7727272727272727
return_side|SLICE|dir=1,0.0,0.5,0.5
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.16666666666666666,0.25,0.5833333333333334
return_side|VOLLEY|dir=1,0.0,1.0,0.0
return_side|VOLLEY|dir=2,0.5,0.0,0.5
return_side|VOLLEY|dir=3,0.5,0.0,0.5
serve_side|BH|dir=1,0.09090909090909091,0.09090909090909091,0.8181818181818182
serve_side|BH|dir=2,0.0410958904109589,0.1232876712328767,0.8356164383561644
serve_side|BH|dir=3,0.0410958904109589,0.0958904109589041,0.863013698630137
serve_side|BOS|dir=0,0.04597701149425287,0.005747126436781609,0.9482758620689655
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.04081632653061224,0.1836734693877551,0.7755102040816326
serve_side|FH|dir=2,0.03773584905660377,0.16981132075471697,0.7924528301886793
serve_side|FH|dir=3,0.0,0.20833333333333334,0.7916666666666666
serve_side|LOB|dir=2,0.8,0.2,0.0
serve_side|LOB|dir=3,0.6,0.0,0.4
serve_side|OTHER|dir=0,0.0,1.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.16666666666666666,0.3333333333333333,0.5
serve_side|SLICE|dir=2,0.07692307692307693,0.07692307692307693,0.8461538461538461
serve_side|SLICE|dir=3,0.08333333333333333,0.16666666666666666,0.75
serve_side|VOLLEY|dir=1,1.0,0.0,0.0
