,win,loss,continue
return_side|BH|dir=1,0.0,0.25,0.75
return_side|BH|dir=2,0.06666666666666667,0.26666666666666666,0.6666666666666666
return_side|BH|dir=3,0.0,0.18518518518518517,0.8148148148148148
return_side|DROP_SHOT|dir=1,0.0,0.3333333333333333,0.6666666666666666
return_side|FH|dir=1,0.0,0.15384615384615385,0.8461538461538461
return_side|FH|dir=2,0.0,0.1,0.9
return_side|FH|dir=3,0.0,0.2,0.8
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|LOB|dir=3,0.0,1.0,0.0
return_side|SERVE|dir=4,0.0,0.13636363636363635,0.8636363636363636
return_side|SERVE|dir=5,0.0,0.42105263157894735,0.5789473684210527
return_side|SERVE|dir=6,0.0,0.4444444444444444,0.5555555555555556
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=3,0.3333333333333333,0.3333333333333333,0.3333333333333333
return_side|SMASH|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.25,0.25,0.5
serve_side|BH|dir=2,0.0,0.21428571428571427,0.7857142857142857
serve_side|BH|dir=3,0.08333333333333333,0.08333333333333333,0.8333333333333334
serve_side|BOS|dir=0,0.26153846153846155,0.0,0.7384615384615385
serve_side|FH|dir=1,0.16666666666666666,0.16666666666666666,0.6666666666666666
serve_side|FH|dir=2,0.07692307692307693,0.15384615384615385,0.7692307692307693
serve_side|FH|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.0,0.3333333333333333,0.6666666666666666
serve_side|SLICE|dir=3,1.0,0.0,0.0
