,win,loss,continue
return_side|BH|dir=1,0.2,0.2,0.6
return_side|BH|dir=2,0.08333333333333333,0.0,0.9166666666666666
return_side|BH|dir=3,0.0625,0.125,0.8125
return_side|DROP_SHOT|dir=1,0.0,0.6666666666666666,0.3333333333333333
return_side|DROP_SHOT|dir=2,1.0,0.0,0.0
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.029850746268656716,0.14925373134328357,0.8208955223880597
return_side|FH|dir=2,0.16666666666666666,0.0,0.8333333333333334
return_side|FH|dir=3,0.0,0.08823529411764706,0.9117647058823529
return_side|LOB|dir=3,1.0,0.0,0.0
return_side|SERVE|dir=4,0.0,0.13333333333333333,0.8666666666666667
return_side|SERVE|dir=5,0.14285714285714285,0.0,0.8571428571428571
return_side|SERVE|dir=6,0.046511627906976744,0.023255813953488372,0.9302325581395349
return_side|SLICE|dir=2,0.0,0.5,0.5
return_side|SLICE|dir=3,0.0,0.0,1.0
return_side|SMASH|dir=2,0.0,1.0,0.0
return_side|VOLLEY|dir=3,0.0,1.0,0.0
serve_side|BH|dir=1,0.0,0.3333333333333333,0.6666666666666666
serve_side|BH|dir=2,0.0625,0.08333333333333333,0.8541666666666666
serve_side|BH|dir=3,0.03333333333333333,0.1,0.8666666666666667
serve_side|BOS|dir=0,0.02142857142857143,0.0,0.9785714285714285
serve_side|DROP_SHOT|dir=1,0.2,0.0,0.8
serve_side|DROP_SHOT|dir=2,0.0,0.5,0.5
serve_side|DROP_SHOT|dir=3,0.0,1.0,0.0
serve_side|FH|dir=1,0.06,0.14,0.8
serve_side|FH|dir=2,0.02564102564102564,0.05128205128205128,0.9230769230769231
serve_side|FH|dir=3,0.04918032786885246,0.01639344262295082,0.9344262295081968
serve_side|LOB|dir=1,0.5,0.0,0.5
serve_side|LOB|dir=2,0.5,0.25,0.25
serve_side|LOB|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.15384615384615385,0.0,0.8461538461538461
serve_side|SLICE|dir=3,0.0,0.2,0.8
