,win,loss,continue
return_side|BH|dir=1,0.0,1.0,0.0
return_side|BH|dir=2,0.0,0.125,0.875
return_side|BH|dir=3,0.0,0.25,0.75
return_side|FH|dir=1,0.0,0.18181818181818182,0.8181818181818182
return_side|FH|dir=2,0.0,0.2,0.8
return_side|FH|dir=3,0.0,0.2,0.8
return_side|SERVE|dir=4,0.0,0.38461538461538464,0.6153846153846154
return_side|SERVE|dir=5,0.0,0.07692307692307693,0.9230769230769231
return_side|SERVE|dir=6,0.0,0.2,0.8
return_side|SLICE|dir=1,1.0,0.0,0.0
return_side|SLICE|dir=3,0.0,0.6666666666666666,0.3333333333333333
return_side|VOLLEY|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.0,1.0,0.0
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.0,0.14285714285714285,0.8571428571428571
serve_side|BH|dir=3,0.0,0.3333333333333333,0.6666666666666666
serve_side|BOS|dir=0,0.05555555555555555,0.0,0.9444444444444444
serve_side|FH|dir=1,0.0,0.16666666666666666,0.8333333333333334
serve_side|FH|dir=2,0.0,0.21428571428571427,0.7857142857142857
serve_side|FH|dir=3,0.0,0.125,0.875
serve_side|LOB|dir=3,0.0,1.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.16666666666666666,0.8333333333333334
serve_side|SLICE|dir=2,0.16666666666666666,0.0,0.8333333333333334
serve_side|SLICE|dir=3,0.0,0.25,0.75
serve_side|VOLLEY|dir=1,0.5,0.5,0.0
