,win,loss,continue
return_side|BH|dir=0,0.0,0.0,1.0
return_side|BH|dir=1,0.3333333333333333,0.16666666666666666,0.5
return_side|BH|dir=2,0.0,0.25,0.75
return_side|BH|dir=3,0.058823529411764705,0.29411764705882354,0.6470588235294118
return_side|DROP_SHOT|dir=1,1.0,0.0,0.0
return_side|DROP_SHOT|dir=3,0.5,0.0,0.5
return_side|FH|dir=1,0.0,0.19230769230769232,0.8076923076923077
return_side|FH|dir=2,0.0,0.16666666666666666,0.8333333333333334
return_side|FH|dir=3,0.016666666666666666,0.08333333333333333,0.9
return_side|LOB|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=4,0.08695652173913043,0.21739130434782608,0.6956521739130435
return_side|SERVE|dir=5,0.0,0.0,1.0
return_side|SERVE|dir=6,0.018518518518518517,0.2037037037037037,0.7777777777777778
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,1.0,0.0,0.0
return_side|SLICE|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.08,0.2,0.72
serve_side|BH|dir=3,0.038461538461538464,0.15384615384615385,0.8076923076923077
serve_side|BOS|dir=0,0.13861386138613863,0.0,0.8613861386138614
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.0,0.3333333333333333,0.6666666666666666
serve_side|FH|dir=2,0.13333333333333333,0.2,0.6666666666666666
serve_side|FH|dir=3,0.15789473684210525,0.15789473684210525,0.6842105263157895
serve_side|LOB|dir=2,0.6666666666666666,0.0,0.3333333333333333
serve_side|LOB|dir=3,0.0,1.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.3333333333333333,0.0,0.6666666666666666
serve_side|SLICE|dir=2,0.3,0.2,0.5
serve_side|SLICE|dir=3,0.14285714285714285,0.2857142857142857,0.5714285714285714
serve_side|VOLLEY|dir=3,0.0,1.0,0.0
