,win,loss,continue
return_side|BH|dir=1,0.5,0.0,0.5
return_side|BH|dir=2,0.04,0.24,0.72
return_side|BH|dir=3,0.037037037037037035,0.2222222222222222,0.7407407407407407
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|DROP_SHOT|dir=2,1.0,0.0,0.0
return_side|FH|dir=1,0.03125,0.21875,0.75
return_side|FH|dir=2,0.08695652173913043,0.17391304347826086,0.7391304347826086
return_side|FH|dir=3,0.038461538461538464,0.15384615384615385,0.8076923076923077
return_side|LOB|dir=2,0.0,0.3333333333333333,0.6666666666666666
return_side|SERVE|dir=4,0.044444444444444446,0.15555555555555556,0.8
return_side|SERVE|dir=5,0.02564102564102564,0.38461538461538464,0.5897435897435898
return_side|SERVE|dir=6,0.0,0.24,0.76
return_side|SLICE|dir=2,0.5,0.0,0.5
return_side|SLICE|dir=3,0.3333333333333333,0.0,0.6666666666666666
return_side|SMASH|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.0,0.25,0.75
serve_side|BH|dir=1,0.0,0.14285714285714285,0.8571428571428571
serve_side|BH|dir=2,0.0784313725490196,0.27450980392156865,0.6470588235294118
serve_side|BH|dir=3,0.06896551724137931,0.25287356321839083,0.6781609195402298
serve_side|BOS|dir=0,0.041379310344827586,0.0,0.9586206896551724
serve_side|DROP_SHOT|dir=1,0.0,1.0,0.0
serve_side|DROP_SHOT|dir=3,0.0,1.0,0.0
serve_side|FH|dir=1,0.0,0.3181818181818182,0.6818181818181818
serve_side|FH|dir=2,0.1891891891891892,0.08108108108108109,0.7297297297297297
serve_side|FH|dir=3,0.0967741935483871,0.16129032258064516,0.7419354838709677
serve_side|LOB|dir=2,0.5714285714285714,0.0,0.42857142857142855
serve_side|LOB|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.3333333333333333,0.6666666666666666
serve_side|SLICE|dir=2,0.2777777777777778,0.0,0.7222222222222222
serve_side|SLICE|dir=3,0.0,0.6666666666666666,0.3333333333333333
serve_side|SMASH|dir=1,0.0,0.0,1.0
serve_side|VOLLEY|dir=2,0.0,0.0,1.0
