,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.0,0.0,1.0
return_side|BH|dir=3,0.0,0.0,1.0
return_side|DROP_SHOT|dir=2,0.0,0.0,1.0
return_side|FH|dir=1,0.0,0.25,0.75
return_side|FH|dir=2,0.0,0.3333333333333333,0.6666666666666666
return_side|FH|dir=3,0.0,0.1,0.9
return_side|SERVE|dir=4,0.0,0.2777777777777778,0.7222222222222222
return_side|SERVE|dir=5,0.0,0.2,0.8
return_side|SERVE|dir=6,0.0,0.2222222222222222,0.7777777777777778
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SMASH|dir=1,0.0,1.0,0.0
return_side|SMASH|dir=2,0.0,1.0,0.0
return_side|VOLLEY|dir=1,0.0,1.0,0.0
return_side|VOLLEY|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,0.2222222222222222,0.7777777777777778
serve_side|BH|dir=2,0.0,0.19230769230769232,0.8076923076923077
serve_side|BH|dir=3,0.0,0.4,0.6
serve_side|BOS|dir=0,0.014492753623188406,0.0,0.9855072463768116
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.0,0.4,0.6
serve_side|FH|dir=2,0.2,0.4,0.4
serve_side|FH|dir=3,0.05263157894736842,0.21052631578947367,0.7368421052631579
serve_side|LOB|dir=1,0.0,0.0,1.0
serve_side|LOB|dir=2,0.0,1.0,0.0
serve_side|LOB|dir=3,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.6,0.0,0.4
serve_side|SLICE|dir=3,0.0,0.0,1.0
serve_side|VOLLEY|dir=1,0.0,0.5,0.5
serve_side|VOLLEY|dir=2,0.0,0.5,0.5
