,win,loss,continue
return_side|BH|dir=1,0.0,0.5,0.5
return_side|BH|dir=2,0.0,0.0,1.0
return_side|BH|dir=3,0.0,0.16666666666666666,0.8333333333333334
return_side|FH|dir=1,0.0,0.5,0.5
return_side|FH|dir=2,0.0,0.0,1.0
return_side|FH|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=4,0.0,0.45454545454545453,0.5454545454545454
return_side|SERVE|dir=5,0.0,0.5,0.5
return_side|SERVE|dir=6,0.0,0.5,0.5
return_side|SMASH|dir=1,0.0,1.0,0.0
return_side|SMASH|dir=2,0.0,1.0,0.0
return_side|VOLLEY|dir=1,1.0,0.0,0.0
return_side|VOLLEY|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,1.0,0.0
serve_side|BH|dir=2,0.0,0.36363636363636365,0.6363636363636364
serve_side|BH|dir=3,0.125,0.375,0.5
serve_side|BOS|dir=0,0.04081632653061224,0.0,0.9591836734693877
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|FH|dir=1,0.0,0.16666666666666666,0.8333333333333334
serve_side|FH|dir=2,0.0,0.21428571428571427,0.7857142857142857
serve_side|FH|dir=3,0.08333333333333333,0.08333333333333333,0.8333333333333334
serve_side|LOB|dir=2,0.0,0.3333333333333333,0.6666666666666666
serve_side|LOB|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.3333333333333333,0.6666666666666666
serve_side|SLICE|dir=2,0.0,0.5,0.5
serve_side|SLICE|dir=3,0.0,0.5,0.5
serve_side|SMASH|dir=3,0.0,1.0,0.0
serve_side|VOLLEY|dir=1,0.0,1.0,0.0
