,win,loss,continue
return_side|BH|dir=1,0.043478260869565216,0.21739130434782608,0.7391304347826086
return_side|BH|dir=2,0.019801980198019802,0.12871287128712872,0.8514851485148515
return_side|BH|dir=3,0.031055900621118012,0.13664596273291926,0.8322981366459627
return_side|DROP_SHOT|dir=1,0.0,0.3333333333333333,0.6666666666666666
return_side|DROP_SHOT|dir=3,0.5,0.0,0.5
return_side|FH|dir=1,0.03333333333333333,0.16666666666666666,0.8
return_side|FH|dir=2,0.0625,0.1375,0.8
return_side|FH|dir=3,0.05504587155963303,0.1559633027522936,0.7889908256880734
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|OTHER|dir=2,0.0,1.0,0.0
return_side|SERVE|dir=4,0.0,0.2111111111111111,0.7888888888888889
return_side|SERVE|dir=5,0.0,0.1297709923664122,0.8702290076335878
return_side|SERVE|dir=6,0.022727272727272728,0.14772727272727273,0.8295454545454546
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,0.07692307692307693,0.15384615384615385,0.7692307692307693
return_side|SLICE|dir=3,0.041666666666666664,0.125,0.8333333333333334
return_side|SMASH|dir=2,0.0,0.5,0.5
return_side|SMASH|dir=3,0.0,0.5,0.5
return_side|VOLLEY|dir=1,0.2,0.4,0.4
return_side|VOLLEY|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.3333333333333333,0.0,0.6666666666666666
serve_side|BH|dir=1,0.0,0.2,0.8
serve_side|BH|dir=2,0.04032258064516129,0.1774193548387097,0.782258064516129
serve_side|BH|dir=3,0.05511811023622047,0.14173228346456693,0.8031496062992126
serve_side|BOS|dir=0,0.07462686567164178,0.0,0.9253731343283582
serve_side|DROP_SHOT|dir=3,1.0,0.0,0.0
serve_side|FH|dir=1,0.08333333333333333,0.1527777777777778,0.7638888888888888
serve_side|FH|dir=2,0.009523809523809525,0.12380952380952381,0.8666666666666667
serve_side|FH|dir=3,0.05,0.175,0.775
serve_side|LOB|dir=1,0.6666666666666666,0.0,0.3333333333333333
serve_side|LOB|dir=2,0.4444444444444444,0.1111111111111111,0.4444444444444444
serve_side|LOB|dir=3,1.0,0.0,0.0
serve_side|OTHER|dir=2,0.2857142857142857,0.0,0.7142857142857143
serve_side|OTHER|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=0,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.25,0.125,0.625
serve_side|SLICE|dir=2,0.13157894736842105,0.10526315789473684,0.7631578947368421
serve_side|SLICE|dir=3,0.13333333333333333,0.16666666666666666,0.7
serve_side|VOLLEY|dir=2,0.0,0.0,1.0
serve_side|VOLLEY|dir=3,0.0,1.0,0.0
